stage_ft,Q_cfs,site_no,type
6.1,192780,07374000,model
6.11,193031.35,07374000,model
6.12,193282.76,07374000,model
6.13,193534.22,07374000,model
6.14,193785.73,07374000,model
6.15,194037.29,07374000,model
6.16,194288.9,07374000,model
6.17,194540.56,07374000,model
6.18,194792.27,07374000,model
6.19,195044.04,07374000,model
6.2,195295.85,07374000,model
6.21,195547.72,07374000,model
6.22,195799.64,07374000,model
6.23,196051.61,07374000,model
6.24,196303.63,07374000,model
6.25,196555.7,07374000,model
6.26,196807.82,07374000,model
6.27,197059.99,07374000,model
6.28,197312.22,07374000,model
6.29,197564.49,07374000,model
6.3,197816.81,07374000,model
6.31,198069.19,07374000,model
6.32,198321.61,07374000,model
6.33,198574.09,07374000,model
6.34,198826.61,07374000,model
6.35,199079.19,07374000,model
6.36,199331.82,07374000,model
6.37,199584.5,07374000,model
6.38,199837.22,07374000,model
6.39,200090,07374000,model
6.4,200342.83,07374000,model
6.41,200595.71,07374000,model
6.42,200848.63,07374000,model
6.43,201101.61,07374000,model
6.44,201354.64,07374000,model
6.45,201607.72,07374000,model
6.46,201860.85,07374000,model
6.47,202114.03,07374000,model
6.48,202367.25,07374000,model
6.49,202620.53,07374000,model
6.5,202873.86,07374000,model
6.51,203127.23,07374000,model
6.52,203380.66,07374000,model
6.53,203634.14,07374000,model
6.54,203887.66,07374000,model
6.55,204141.24,07374000,model
6.56,204394.86,07374000,model
6.57,204648.54,07374000,model
6.58,204902.26,07374000,model
6.59,205156.03,07374000,model
6.6,205409.86,07374000,model
6.61,205663.73,07374000,model
6.62,205917.65,07374000,model
6.63,206171.62,07374000,model
6.64,206425.64,07374000,model
6.65,206679.71,07374000,model
6.66,206933.83,07374000,model
6.67,207187.99,07374000,model
6.68,207442.21,07374000,model
6.69,207696.47,07374000,model
6.7,207950.79,07374000,model
6.71,208205.15,07374000,model
6.72,208459.56,07374000,model
6.73,208714.02,07374000,model
6.74,208968.53,07374000,model
6.75,209223.08,07374000,model
6.76,209477.69,07374000,model
6.77,209732.34,07374000,model
6.78,209987.05,07374000,model
6.79,210241.8,07374000,model
6.8,210496.6,07374000,model
6.81,210751.45,07374000,model
6.82,211006.35,07374000,model
6.83,211261.29,07374000,model
6.84,211516.29,07374000,model
6.85,211771.33,07374000,model
6.86,212026.42,07374000,model
6.87,212281.56,07374000,model
6.88,212536.74,07374000,model
6.89,212791.98,07374000,model
6.9,213047.26,07374000,model
6.91,213302.59,07374000,model
6.92,213557.97,07374000,model
6.93,213813.4,07374000,model
6.94,214068.87,07374000,model
6.95,214324.4,07374000,model
6.96,214579.97,07374000,model
6.97,214835.59,07374000,model
6.98,215091.25,07374000,model
6.99,215346.97,07374000,model
7,215602.73,07374000,model
7.01,215858.54,07374000,model
7.02,216114.4,07374000,model
7.03,216370.3,07374000,model
7.04,216624.58,07374000,model
7.05,216878.9,07374000,model
7.06,217133.27,07374000,model
7.07,217387.69,07374000,model
7.08,217642.15,07374000,model
7.09,217896.65,07374000,model
7.1,218151.2,07374000,model
7.11,218405.8,07374000,model
7.12,218660.44,07374000,model
7.13,218915.12,07374000,model
